,亚洲ETF-iShares MSCI,MSCI全球ETF-iShares,iShares MSCI ACWI ex US ETF,债券指数ETF-iShares Barclays综合国债,Alerian MLP ETF,债券指数ETF-Vanguard美国,短期国债指数ETF-Vanguard,道琼斯指数ETF,三倍做空黄金矿业指数ETF-Direxion,日本股利指数ETF-WisdomTree,新兴市场ETF-iShares MSCI,iShares Edge MSCI Min Vol EAFE ETF,欧澳远东指数 ETF-iShares MSCI,iShares JPMorgan USD Emerging Markets Bond ETF,印度收入指数ETF-WisdomTree,三倍做多能源ETF-Direxion,澳大利亚ETF-iShares MSCI,加拿大ETF-iShares MSCI,德国ETF-iShares MSCI,香港ETF-iShares MSCI,日本ETF-iShares MSCI,台湾ETF-iShares MSCI,墨西哥投资指数ETF-iShares MSCI,韩国ETF-iShares MSCI,巴西ETF-iShares MSCI,欧盟国家ETF-iShares MSCI,金融指数ETF-Direxion三倍做多罗素金融股,中国大盘股ETF-iShares,小型黄金矿业ETF(Market Vectors),黄金矿业ETF(Market Vectors),SPDR黄金ETF,债券指数ETF-iShares iBoxx高收益公司债,PIMCO 0-5 Year High YieldCorporate Bond Index ETF,黄金信托ETF(iShares),生物科技指数ETF-iShares Nasdaq,iShares Core MSCI EAFE ETF,债券指数ETF-iShares Barclays 7-10年,标普中型股400指数ETF-iShares,标普小型股600指数ETF-iShares,房屋建筑指数ETF-iShares Dow Jones,标普500价值指数ETF-iShares,标普500指数ETF,标普500成长股指数ETF-iShares,罗素1000指数ETF-iShares,罗素1000价值指数ETF-iShares,罗素1000成长指数ETF-iShares,罗素2000指数ETF,罗素2000价值股指数ETF-iShares,罗素2000成长股指数ETF,房地产指数ETF-iShares道琼斯,金矿指数三倍做空ETF,债券指数ETF-SPDR Barclays高收益债,金矿指数三倍做多ETF,银行指数ETF-SPDR KBW,区域银行指数ETF-SPDR KBW,债券指数ETF-iShares iBoxx投资级公司债,中国ETF-iShares MSCI,标普中型股400指数ETF-SPDR,三倍做多黄金矿业指数ETF-Direxion,标普100指数ETF-iShares,石油服务ETF,优先股指数ETF-iShares S&P,纳指两倍做空ETF,纳指两倍做多ETF,纳指ETF,平均加权指数ETF-Rydex S&P,俄罗斯ETF-Market Vectors,Schwab U.S. TIPs ETF,道指三倍做空ETF-ProShares,标普500两倍做空ETF,债券指数ETF-iShares Barclays 1-3年国,标普500反向ETF,白银ETF(iShares),半导体指数ETF-HOLDRs,三倍做多半导体ETF-Direxion Daily,iShares费城交易所半导体ETF,标普500三倍做空ETF,标普500指数ETF,纳指三倍做空ETF,标普500两倍做多ETF,0.5倍做空波动率指数短期期货ETF,债券20+美国债指数ETF-ProShares两倍做空,通胀债券指数ETF-iShares Barclays,债券20+美公债指数ETF-iShares Barcla,罗素2000指数三倍做多ETF-Direxion,纳指三倍做多ETF,罗素2000指数三倍做空ETF,二倍做多彭博原油ETF,道指三倍做多ETF-ProShares,三倍做多标普500ETF,美国原油ETF,1.5倍做多波动率指数短期期货ETF-ProShares,EAFE指数ETF-Vanguard MSCI,非美地区ETF-Vanguard FTSE,欧洲ETF-Vanguard MSCI,股利增长指数ETF-Vanguard,不动产信托指数ETF-Vanguard,Vanguard S&P 500 ETF,大盘指数ETF-Vanguard MSCI,Vanguard Value ETF,Vanguard Total World Stock ETF,成长股指数ETF-Vanguard MSCI,新兴市场ETF-Vanguard MSCI,SPDR S&P Biotech ETF,房屋建筑商指数ETF-SPDR,材料ETF,能源ETF,金融ETF,工业ETF,高科技指数ETF-SPDR,消费品指数ETF-SPDR主要消费品,公共事业指数ETF-SPDR,健康照护类股ETF-SPDR,消费品指数ETF-SPDR可选消费品,金属与采矿指数ETF-SPDR,油气开采指数ETF-SPDR S&P,零售指数ETF-SPDR标普
1497326400000,67.82,66.48,46.35,109.59,11.84,81.86,79.86,213.37,27.91,52.03,41.59,70.97,66.57,115.7,25.06,27.74,22.02,26.75,31.33,24.1,54.56,34.72,53.72,68.14,33.96,41.44,48.46,40.11,34.34,22.97,120.48,88.63,101.72,12.19,98.1433,62.16,107.28,176.9,71.23,33.72,106.12,246.11,138.35,136.13,117.0,120.01,142.1,120.74,168.93,80.7,60.24,37.28,20.52,44.1,55.75,120.21,54.63,322.45,34.7,108.09,26.52,38.92,67.6,59.91,140.36,93.59,19.49,55.42,31.43,50.04,84.47,33.28,15.95,85.72,96.09,148.05,61.4,244.55,30.79,90.79,79.47,36.33,114.12,124.38,57.33,34.59,16.04,15.24,59.975,106.16,9.6,40.56,41.93,50.73,56.14,94.29,84.61,224.5,125.79,97.59,68.38,128.34,41.01,72.07,38.7,55.1,67.39,24.47,68.44,56.09,56.75,53.7,77.58,90.88,30.32,33.66,41.26
1497412800000,67.74,66.39,46.3,109.94,11.59,82.16,79.94,213.84,30.56,51.69,41.58,71.16,66.52,115.95,25.19,26.19,22.23,26.42,31.45,23.97,54.53,34.57,54.17,68.53,34.32,41.405,48.67,39.93,32.85,22.22,119.82,88.64,101.65,12.12,98.6967,62.14,107.84,176.03,70.79,34.0,106.04,245.84,138.19,135.95,116.77,120.0,141.26,119.9,168.2,80.96,68.0,37.26,17.72,44.05,55.75,121.03,54.39,321.03,31.31,108.0,25.59,38.94,68.08,59.375,139.75,93.38,18.85,55.44,31.16,50.2,84.51,33.32,15.95,84.98,92.99,146.5,61.64,244.24,31.18,90.63,79.715,35.21,114.14,126.3,56.37,34.1267,16.31,14.13,60.615,105.79,9.23,40.2,41.88,50.7,56.08,94.4,84.73,224.26,125.61,97.48,68.21,128.23,40.98,72.54,38.96,54.52,66.17,24.51,68.37,55.82,57.11,53.99,77.95,90.83,29.43,32.2,41.17
1497499200000,67.1,66.03,45.83,109.87,11.42,82.07,79.91,213.69,31.22,51.61,41.15,70.71,65.83,115.58,24.92,25.65,22.06,26.32,30.93,23.85,54.0,34.37,53.78,67.4,33.96,40.82,48.35,39.47,32.72,22.1,119.32,88.3,101.48,12.07,97.9333,61.47,107.65,175.25,70.45,33.64,105.83,245.38,137.95,135.67,116.58,119.68,140.54,119.36,167.23,81.24,68.6,37.17,17.72,43.76,55.49,120.74,53.83,319.51,30.49,107.82,25.16,38.97,68.8,58.82,139.13,93.18,18.77,55.2,31.28,50.4,84.48,33.39,15.88,84.2,90.75,145.34,62.08,243.77,31.61,90.24,78.81,35.32,113.58,126.1,55.54,33.6667,16.55,13.96,60.415,105.12,9.18,41.24,41.43,50.17,55.33,94.21,85.16,223.81,125.33,97.34,67.79,127.89,40.62,71.55,38.7,54.04,65.67,24.41,68.78,55.57,56.98,54.3,77.87,90.45,28.37,31.41,40.66
1497585600000,67.18,66.27,46.16,109.94,11.58,82.16,79.96,213.56,31.41,51.77,41.22,71.27,66.39,115.57,25.02,26.93,22.16,26.55,31.23,23.84,54.22,34.53,54.46,67.27,34.14,41.25,48.25,39.58,33.0,22.06,119.34,88.15,101.15,12.07,97.5767,62.01,107.71,175.16,70.07,33.56,105.78,245.18,138.02,135.68,116.8,119.5,140.19,118.95,166.88,81.19,67.04,37.07,18.02,43.49,55.07,120.84,53.9,318.99,30.2,107.79,25.51,38.98,69.28,58.395,138.15,92.88,18.75,55.23,31.12,50.36,84.52,33.38,15.79,84.15,89.7,144.76,62.0,242.64,31.99,90.25,79.675,35.2,113.68,126.35,55.07,33.2633,16.68,14.14,60.23,105.12,9.24,40.44,41.8,50.55,56.05,93.85,84.94,223.87,125.25,97.48,68.09,127.77,40.75,71.6,38.5,54.02,66.3,24.29,68.68,55.25,55.95,54.11,77.69,90.15,28.13,31.65,39.97
1497844800000,67.92,66.66,46.4,109.79,11.49,82.04,79.87,214.92,31.85,52.14,41.63,71.44,66.66,115.45,25.12,26.39,22.24,26.63,31.45,24.14,54.39,35.06,54.19,67.67,34.31,41.51,49.28,40.14,32.46,21.93,118.43,88.42,101.48,11.98,99.93,62.21,107.41,176.29,70.39,33.88,106.34,247.39,139.47,136.74,117.41,120.79,141.23,119.31,168.89,81.33,70.22,37.21,17.28,43.57,55.07,120.69,54.94,320.91,29.9,108.76,25.42,39.08,67.04,60.27,140.46,93.46,18.86,55.14,30.55,49.52,84.47,33.1,15.61,85.64,94.81,147.51,60.56,244.66,30.45,91.71,81.99,35.3,113.55,126.17,56.25,34.8733,16.31,13.8,61.97,107.78,9.12,37.88,41.95,50.76,56.25,94.39,84.95,225.7,126.27,98.0,68.52,129.14,41.02,74.16,38.9,54.45,65.88,24.54,69.1,56.07,56.22,53.93,78.5,90.84,28.4,31.56,40.14
1497931200000,67.23,65.41,45.29,109.96,11.17,82.16,79.92,214.4,32.52,52.15,40.98,69.71,65.07,114.91,24.97,25.34,21.37,26.1,30.56,23.53,54.06,35.05,52.83,66.88,32.82,40.4,48.36,39.52,32.41,21.8,118.18,88.11,101.23,11.95,101.1967,60.74,107.68,174.37,69.55,34.0,105.65,245.78,138.56,135.81,116.58,120.02,139.8,117.91,167.54,81.06,70.69,37.1,17.15,43.03,54.35,120.96,54.31,317.36,29.31,108.12,24.88,39.03,68.12,59.345,139.36,92.7,18.45,55.22,30.75,50.2,84.48,33.32,15.59,84.57,91.66,145.85,61.72,243.01,31.14,90.53,79.89,34.67,113.67,127.3,54.54,34.0833,16.8,13.27,61.41,105.72,8.95,40.04,41.57,50.25,55.61,93.69,84.75,224.22,125.41,97.37,67.92,128.29,40.53,74.98,38.74,54.15,65.04,24.33,68.36,55.62,56.0,53.96,78.76,89.7,28.03,31.19,39.32
1498017600000,67.39,65.44,45.29,109.98,11.06,82.2,79.91,213.89,31.15,52.02,41.07,69.6,64.99,114.67,25.03,24.08,21.16,25.98,30.56,23.47,53.98,35.35,52.61,66.84,32.9,40.45,47.56,39.48,32.93,22.11,118.52,87.6,100.62,11.98,105.3667,60.65,107.67,173.31,69.23,33.85,105.14,245.68,139.0,135.75,115.93,120.42,139.45,116.9,168.01,80.74,67.28,36.87,17.95,42.48,53.61,121.02,54.65,315.52,30.62,108.09,24.17,39.01,66.72,60.5,140.74,92.44,18.17,55.25,30.99,50.24,84.49,33.35,15.54,85.54,94.78,147.54,61.68,242.95,30.25,90.36,80.55,34.54,113.85,127.56,54.18,35.0733,16.93,12.57,61.035,105.5,8.71,39.2,41.05,49.73,54.88,92.91,84.58,224.13,124.69,96.98,67.92,128.76,40.43,78.51,38.62,53.58,63.99,24.13,67.9,55.93,55.84,53.64,79.76,89.84,28.03,30.17,38.8
1498104000000,67.67,65.43,45.385,110.03,11.2,82.23,79.94,213.73,30.0,52.1,41.28,69.67,64.98,114.92,24.91,23.99,21.21,26.26,30.53,23.57,54.09,35.45,53.11,67.45,33.1,40.34,46.93,39.74,33.61,22.36,118.92,87.84,100.97,12.03,106.7033,60.69,107.77,173.57,69.48,33.56,105.03,245.6,139.02,135.68,115.88,120.48,139.98,117.19,168.93,80.9,63.27,36.96,18.98,42.2,53.25,121.12,54.93,315.95,31.78,108.03,24.13,39.1,66.8,60.455,140.7,92.47,18.51,55.45,31.08,50.32,84.5,33.36,15.68,85.32,94.07,147.2,61.88,242.84,30.26,90.27,81.435,34.4,114.22,127.84,54.73,35.0333,16.76,12.76,60.83,105.38,8.78,38.52,41.13,49.84,54.81,92.54,84.66,224.0,124.74,96.9,67.95,128.85,40.58,79.2,38.51,53.64,63.95,23.98,67.76,55.95,55.47,53.39,80.59,89.63,28.51,30.21,39.06
1498190400000,67.82,65.54,45.5,110.05,11.47,82.25,79.97,213.74,28.47,52.14,41.5,69.77,65.14,115.3,24.84,24.51,21.36,26.36,30.54,23.51,54.05,35.59,53.56,68.04,33.04,40.39,46.67,39.77,34.2,22.74,119.43,88.2,101.24,12.08,106.9133,60.81,107.8,174.25,70.07,33.59,104.96,245.85,139.37,135.92,115.9,120.75,140.91,117.77,170.3,81.22,60.0,37.1,20.0,41.92,52.91,121.18,55.03,317.27,33.6,108.18,24.31,39.15,66.28,60.9,141.24,92.68,18.85,55.47,31.08,50.16,84.55,33.32,15.79,85.67,94.94,147.64,61.64,243.13,29.93,90.52,82.215,34.45,114.31,127.78,55.78,35.4267,16.41,13.0,60.66,105.83,8.86,37.68,41.22,49.96,55.0,92.67,84.15,223.37,125.05,96.36,68.07,128.78,40.73,80.31,38.26,53.85,64.38,23.89,68.01,56.3,55.49,53.21,80.47,89.52,29.19,31.02,39.53
1498449600000,68.41,65.7,45.66,110.15,11.69,82.34,79.97,213.87,29.23,51.52,41.9,69.8,65.25,115.51,24.9,24.38,21.38,26.43,30.58,23.69,53.9,36.31,54.24,68.38,34.0,40.535,47.41,40.23,33.75,22.56,118.36,88.32,101.4,11.96,106.5733,60.92,107.89,174.94,70.2,33.74,105.33,246.0,139.11,136.07,116.4,120.5,141.08,118.26,170.09,81.74,62.05,37.15,19.35,42.18,53.29,121.4,55.47,318.51,32.73,108.18,24.37,39.22,66.88,60.355,140.58,92.95,18.9,55.58,31.05,50.16,84.55,33.31,15.68,85.34,92.58,146.37,61.52,243.29,30.33,90.56,84.03,34.19,114.49,128.26,56.05,34.9567,16.36,13.2,60.915,105.92,8.93,36.12,41.3,50.09,55.13,92.83,84.75,223.44,125.14,96.63,68.28,128.57,41.16,80.1,38.51,54.01,64.24,24.02,68.03,56.0,55.71,53.57,80.39,89.84,29.19,31.1,40.25
1498536000000,67.73,65.42,45.59,109.82,11.59,82.06,79.87,212.93,30.33,51.6,41.41,69.58,65.24,114.91,24.47,24.26,21.31,26.54,30.61,23.57,53.77,35.91,53.61,67.74,33.42,40.61,47.6,39.83,33.5,22.26,118.81,88.04,101.21,12.02,103.63,60.95,107.36,172.89,69.47,33.49,104.34,243.04,137.09,135.0,115.86,119.08,139.84,117.84,167.69,80.54,63.44,37.06,18.89,42.42,53.56,120.85,54.92,315.89,31.5,106.77,24.27,39.13,69.36,58.165,138.03,92.33,18.78,55.33,31.45,50.88,84.5,33.55,15.79,82.9,85.1,142.11,62.96,241.33,31.96,89.17,81.05,34.9,113.95,126.89,54.61,33.0333,16.77,13.69,60.085,103.46,9.1,38.52,41.29,50.03,55.27,92.24,83.99,221.66,124.11,96.11,67.92,127.14,40.73,77.27,38.19,53.68,64.14,24.14,67.52,55.08,55.23,52.97,79.66,89.13,29.06,31.13,40.25
