,0
美国废物管理,0.030012006
Washington Prime Group Inc.,0.121654496
WPP plc,0.023963574
WPX能源,0.095147476
Worldpay,0.030515715
Westrock Company,0.030229747
慧俪轻体,0.015384615
58同城,0.017223563
西联汇款,0.2525253
永利度假村,0.009299731
温德姆环球,0.015936255
惠好,0.09881424
Wayfair,0.01538225
SPDR S&P Biotech ETF,0.021551725
Cimarex Energy Co,0.01955799
卓越能源,0.07923931
房屋建筑商指数ETF-SPDR,0.06578946
材料ETF,0.05109863
能源ETF,0.06079027
金融ETF,0.08158138
工业ETF,0.038051747
高科技指数ETF-SPDR,0.03523608
赛灵思,0.030193241
消费品指数ETF-SPDR主要消费品,0.12165454
The Real Estate Select Sector SPDR Fund,0.19577128
公共事业指数ETF-SPDR,0.09633911
健康照护类股ETF-SPDR,0.039904233
消费品指数ETF-SPDR可选消费品,0.030441402
XL Group,0.0407332
金属与采矿指数ETF-SPDR,0.053050395
埃克森美孚,0.044984248
油气开采指数ETF-SPDR S&P,0.07288629
XPO Logistics,0.012492193
登士柏国际,0.053078566
零售指数ETF-SPDR标普,0.0938967
施乐,0.058548015
赛莱默,0.02521432
美国钢铁,0.031220732
Yandex,0.035663337
百胜餐饮集团,0.0317965
欢聚时代,0.009393199
Alleghany Corp,0.006213882
Zayo Group Holdings,0.072568946
Zimmer Biomet Holdings Inc,0.029019147
锡安银行,0.029788502
Zoetis Inc.,0.023272052
Zillow,0.026652452
